mouseX,mouseY,flowerX,flowerY,time_s
125.95,100.62,135.73,109.04,0.0
125.95,100.62,144.28,100.4,0.016
125.95,100.62,153.42,92.38,0.033
125.95,100.62,163.1,85.01,0.05
125.95,100.62,173.21,78.38,0.066
125.95,100.62,183.82,72.43,0.083
125.95,100.62,194.82,67.24,0.1
125.95,100.62,206.15,62.83,0.117
125.95,100.62,217.7,59.24,0.133
126.64,100.62,229.53,56.45,0.151
134.98,97.08,241.46,54.5,0.167
149.45,90.42,253.58,53.39,0.184
174.36,79.43,265.66,53.12,0.201
204.33,66.8,277.81,53.69,0.217
234.31,55.75,289.89,55.12,0.234
260.68,47.69,301.84,57.38,0.25
284.64,41.35,313.53,60.45,0.267
307.43,37.88,324.71,64.23,0.284
329.07,37.88,336.2,69.03,0.3
343.88,38.52,347.13,74.53,0.317
360.26,43.96,357.52,80.71,0.334
374.47,50.47,367.51,87.64,0.35
384.41,56.74,376.94,95.2,0.367
391.14,62.5,385.88,103.45,0.384
397.38,68.75,394.17,112.26,0.4
403.48,76.88,401.91,121.73,0.417
409.59,86.03,408.89,131.6,0.434
415.69,95.18,415.17,141.93,0.451
420.63,103.6,420.74,152.74,0.467
424.95,111.77,425.52,163.84,0.484
429.16,119.23,429.54,175.32,0.501
434.91,132.38,432.75,187.05,0.517
440.24,147.18,435.13,198.98,0.534
443.68,160.19,436.66,211.05,0.551
447.06,173.73,437.36,223.19,0.567
450.22,190.61,437.2,235.28,0.584
451.94,203.61,436.2,247.4,0.6
452.95,214.0,434.36,259.35,0.617
454.07,227.54,431.68,271.21,0.634
454.64,240.21,428.18,282.86,0.65
454.64,252.01,423.9,294.16,0.667
453.62,262.17,418.82,305.21,0.684
449.32,273.97,412.97,315.88,0.7
441.7,291.22,406.43,326.05,0.717
435.01,302.31,399.16,335.79,0.734
426.32,314.46,391.23,345.01,0.751
421.8,320.11,382.66,353.65,0.766
408.7,334.32,373.63,361.58,0.784
401.77,341.75,363.96,368.95,0.8
394.33,348.17,353.73,375.66,0.817
386.89,354.1,343.18,381.57,0.834
378.98,359.55,332.18,386.76,0.85
369.82,364.63,320.85,391.17,0.867
353.04,372.13,309.3,394.76,0.884
340.25,376.11,297.47,397.55,0.9
324.85,380.84,285.46,399.5,0.917
310.37,383.74,273.42,400.61,0.934
302.09,385.2,261.27,400.88,0.95
291.86,386.22,249.19,400.31,0.968
284.92,386.59,237.11,398.88,0.985
278.97,386.59,225.16,396.62,1.001
267.11,385.0,213.47,393.54,1.017
250.72,380.74,201.95,389.64,1.034
236.95,377.23,190.73,384.94,1.05
221.54,373.68,179.94,379.5,1.067
208.75,371.47,169.48,373.29,1.084
202.04,370.11,159.54,366.4,1.101
185.43,364.8,150.0,358.75,1.117
173.85,358.73,141.12,350.55,1.135
161.83,350.71,132.83,341.74,1.151
149.66,342.01,125.09,332.27,1.167
143.1,337.37,118.11,322.4,1.184
138.25,332.52,111.83,312.07,1.2
134.96,327.98,106.54,301.85,1.216
133.09,321.53,101.45,290.09,1.234
131.53,311.3,97.63,279.23,1.25
127.35,295.84,94.4,267.58,1.266
122.94,282.82,91.89,255.09,1.284
