mouseX,mouseY,flowerX,flowerY,time_s
106.63,293.07,98.35,281.45,2.5
105.86,288.84,96.55,275.68,2.517
105.07,284.02,94.95,269.81,2.534
104.24,278.32,93.56,263.89,2.55
103.44,273.56,92.38,257.96,2.567
102.73,270.34,91.4,251.96,2.584
102.1,268.04,90.64,245.96,2.6
101.46,266.15,90.08,239.9,2.617
99.98,262.46,89.74,233.83,2.634
98.73,256.45,89.6,227.75,2.65
97.34,248.5,89.68,221.71,2.667
96.89,242.49,89.97,215.67,2.683
95.89,232.96,90.47,209.61,2.7
95.44,225.71,91.19,203.53,2.717
94.99,217.0,92.11,197.56,2.734
94.99,206.01,93.25,191.58,2.751
94.99,193.34,94.58,185.68,2.767
94.99,186.03,96.13,179.8,2.784
95.89,178.78,97.85,174.08,2.8
96.68,174.02,99.83,168.25,2.817
97.36,171.28,101.98,162.57,2.834
97.95,169.77,104.32,156.99,2.85
98.55,168.25,106.86,151.47,2.867
99.12,167.1,109.6,146.04,2.884
99.69,165.95,112.53,140.7,2.901
100.63,164.07,115.62,135.51,2.917
101.93,161.76,118.91,130.39,2.933
103.35,158.55,122.35,125.42,2.95
104.96,154.2,125.99,120.55,2.967
106.55,150.29,129.8,115.81,2.984
109.86,141.95,133.74,111.23,3.001
112.46,136.25,137.87,106.76,3.017
115.54,130.11,142.15,102.44,3.033
118.63,123.5,146.56,98.3,3.05
122.24,117.16,151.13,94.29,3.067
126.93,110.62,155.84,90.44,3.083
132.05,104.05,160.68,86.76,3.1
138.1,98.42,165.62,83.27,3.117
143.36,93.58,170.7,79.93,3.134
148.46,89.33,175.87,76.8,3.15
154.79,84.8,181.21,73.81,3.167
161.58,80.72,186.55,71.05,3.184
169.05,76.5,192.08,68.44,3.2
175.21,74.68,197.64,66.06,3.217
181.16,72.98,203.1,63.93,3.235
185.38,72.61,209.05,61.85,3.251
188.59,72.61,214.54,60.14,3.266
191.32,72.61,220.69,58.45,3.284
195.06,72.21,226.61,57.06,3.3
200.41,71.39,232.54,55.88,3.317
204.75,70.96,238.54,54.9,3.334
209.5,70.16,244.58,54.14,3.35
213.19,69.79,250.6,53.58,3.367
215.92,69.11,256.67,53.24,3.384
219.13,68.73,262.71,53.1,3.4
222.81,67.99,268.79,53.18,3.417
228.81,67.14,274.87,53.47,3.434
236.11,65.75,280.89,53.97,3.45
245.52,64.75,286.93,54.69,3.467
255.68,64.24,292.94,55.61,3.484
266.66,63.73,298.88,56.74,3.5
279.33,63.19,304.85,58.09,3.517
292.87,63.19,310.7,59.63,3.534
313.18,63.19,316.49,61.37,3.551
324.16,64.71,322.25,63.33,3.567
330.32,66.89,327.9,65.47,3.583
337.62,70.09,333.54,67.83,3.6
342.83,73.17,339.03,70.36,3.617
347.36,76.88,344.43,73.08,3.634
352.2,81.71,349.8,76.03,3.65
356.86,87.26,354.99,79.12,3.667
360.09,90.86,360.11,82.41,3.684
363.26,94.82,365.1,85.87,3.7
365.47,97.78,369.95,89.49,3.717
367.68,101.18,374.69,93.3,3.734
369.97,105.4,379.3,97.27,3.75
371.78,108.57,383.77,101.4,3.767
375.12,116.89,388.06,105.65,3.784
376.71,121.65,392.23,110.08,3.8
377.81,125.34,396.21,114.63,3.817
378.83,128.07,400.06,119.34,3.834
379.54,131.27,403.72,124.15,3.85
381.07,135.61,407.07,128.87,3.866
