mouseX,mouseY,flowerX,flowerY,time_s
298.18,55.63,292.0,55.45,5.007
301.42,57.56,295.0,55.98,5.025
303.72,58.86,297.83,56.52,5.042
306.02,60.17,300.66,57.12,5.059
308.75,61.53,303.49,57.76,5.075
311.48,62.89,306.31,58.45,5.092
314.2,64.25,309.12,59.19,5.109
316.5,65.55,311.9,59.97,5.125
318.38,66.49,314.68,60.8,5.142
319.89,67.37,317.43,61.68,5.159
321.03,68.23,320.2,62.61,5.175
322.17,68.8,322.92,63.57,5.192
323.0,69.34,325.62,64.58,5.209
324.14,69.91,328.33,65.64,5.225
325.64,70.51,331.01,66.74,5.242
327.15,71.39,333.68,67.89,5.259
329.03,72.33,336.31,69.08,5.276
331.41,74.03,338.94,70.32,5.292
333.71,75.34,341.53,71.59,5.309
335.59,76.59,344.11,72.92,5.325
337.89,77.89,346.68,74.28,5.342
339.77,79.14,349.21,75.69,5.359
341.64,80.39,351.59,77.07,5.374
343.94,81.7,354.2,78.63,5.392
346.78,83.48,356.67,80.17,5.409
350.47,85.69,359.09,81.73,5.425
355.0,88.63,361.51,83.35,5.442
360.09,92.03,363.89,85.01,5.459
366.63,97.18,366.25,86.7,5.476
374.05,103.11,368.56,88.43,5.492
379.96,107.27,370.85,90.19,5.509
388.81,113.82,373.12,92.0,5.526
392.84,117.0,375.36,93.85,5.543
397.14,120.51,377.55,95.73,5.559
400.28,123.65,379.73,97.65,5.575
403.23,126.23,381.78,99.53,5.591
405.73,128.36,383.98,101.6,5.609
407.78,130.41,386.02,103.6,5.625
409.38,132.0,388.09,105.69,5.642
410.97,133.6,390.1,107.78,5.659
412.56,135.19,392.07,109.91,5.675
414.16,136.79,394.0,112.06,5.692
415.3,137.93,395.9,114.26,5.709
415.84,138.75,397.76,116.49,5.725
416.67,139.3,399.58,118.73,5.742
417.18,139.81,401.36,121.0,5.759
417.7,140.33,403.11,123.32,5.775
418.21,140.84,404.82,125.67,5.792
418.47,141.36,406.48,128.03,5.809
418.99,141.88,408.13,130.44,5.825
419.5,142.39,409.71,132.86,5.842
419.76,142.91,411.26,135.31,5.859
420.28,143.42,412.76,137.78,5.876
420.82,144.25,414.23,140.28,5.892
421.42,145.76,415.66,142.81,5.909
422.27,146.9,417.04,145.36,5.925
422.87,148.41,418.38,147.92,5.942
423.44,149.55,419.68,150.52,5.958
424.01,150.69,420.92,153.12,5.975
424.64,152.56,420.92,153.11,5.992
425.26,154.44,419.67,150.5,6.009
425.89,156.31,418.37,147.91,6.025
426.2,158.19,417.03,145.33,6.042
426.48,159.7,415.64,142.78,6.058
426.77,161.2,414.21,140.25,6.075
427.08,163.28,412.75,137.76,6.092
427.08,164.42,411.24,135.28,6.108
427.39,165.93,409.7,132.84,6.125
427.39,166.76,408.11,130.41,6.142
427.39,167.9,406.47,128.01,6.158
427.68,169.41,404.81,125.65,6.175
427.68,170.91,403.1,123.31,6.192
427.68,172.42,401.35,120.99,6.209
427.68,173.56,399.56,118.7,6.226
427.68,174.08,397.74,116.46,6.242
427.68,174.34,395.88,114.23,6.258
427.68,174.34,393.99,112.05,6.275
427.05,173.16,392.05,109.89,6.292
424.72,169.66,390.08,107.76,6.309
420.78,163.94,388.08,105.67,6.325
416.79,159.09,386.04,103.61,6.342
413.49,154.55,384.02,101.64,6.359
410.79,151.09,381.85,99.59,6.375
408.57,148.13,379.72,97.64,6.392
406.78,145.28,377.57,95.74,6.408
404.08,141.81,375.34,93.84,6.425
400.37,137.7,373.11,91.99,6.442
396.4,131.97,370.84,90.18,6.458
392.01,126.25,368.54,88.41,6.475
389.31,122.78,366.22,86.68,6.492
386.5,118.38,363.86,84.99,6.509
384.64,115.05,361.48,83.33,6.525
383.28,112.32,359.08,81.72,6.542
381.06,109.39,356.64,80.15,6.559
377.45,105.79,354.17,78.61,6.575
372.78,101.96,351.7,77.13,6.592
368.75,98.72,349.18,75.68,6.609
362.79,93.9,346.66,74.28,6.626
360.31,91.73,344.1,72.91,6.642
358.79,90.53,341.51,71.58,6.659
357.64,89.96,338.92,70.31,6.675
356.5,89.67,336.3,69.07,6.692
354.98,89.38,333.67,67.89,6.709
352.67,89.38,331.13,66.79,6.724
349.46,89.01,328.31,65.63,6.742
346.24,88.66,325.61,64.57,6.759
343.03,87.58,322.89,63.56,6.775
339.33,86.09,320.15,62.59,6.792
334.57,83.71,317.41,61.67,6.809
331.35,81.92,314.66,60.8,6.825
326.81,79.42,311.88,59.97,6.842
322.58,77.12,309.08,59.18,6.859
315.87,74.0,306.36,58.47,6.875
310.32,71.0,303.47,57.76,6.892
304.59,67.48,300.64,57.11,6.909
300.14,65.1,297.81,56.52,6.925
295.77,62.32,295.01,55.98,6.942
292.55,60.52,292.1,55.47,6.959
289.82,59.16,289.25,55.02,6.975
287.93,58.52,286.37,54.61,6.992
285.99,57.55,283.49,54.26,7.009
284.11,56.92,280.62,53.95,7.025
281.8,55.92,277.73,53.69,7.042
277.57,54.38,274.85,53.47,7.059
274.36,53.66,271.95,53.31,7.075
270.66,52.55,269.05,53.19,7.092
266.96,51.81,266.15,53.12,7.109
264.23,51.81,263.24,53.1,7.125
261.92,51.81,260.36,53.13,7.142
257.77,51.81,257.47,53.21,7.159
253.54,52.6,254.57,53.33,7.175
248.18,54.24,251.67,53.51,7.192
242.0,55.57,248.78,53.73,7.209
236.05,57.27,245.88,54.0,7.225
230.09,58.96,243.01,54.31,7.242
224.14,61.08,240.15,54.68,7.259
217.54,62.83,237.26,55.09,7.275
213.2,64.02,234.41,55.55,7.292
208.96,65.15,231.55,56.06,7.309
205.75,65.86,228.7,56.62,7.325
203.02,66.54,225.88,57.22,7.342
201.13,67.16,223.05,57.87,7.359
199.25,67.79,220.25,58.57,7.375
197.73,68.07,217.44,59.31,7.392
195.85,68.7,214.66,60.1,7.409
194.34,68.98,211.88,60.94,7.425
192.82,69.27,209.12,61.83,7.442
191.3,69.58,206.36,62.76,7.459
189.42,70.21,203.65,63.73,7.475
187.91,70.8,200.93,64.75,7.492
