mouseX,mouseY,flowerX,flowerY,time_s
132.51,114.04,135.77,108.99,0.0
132.51,114.04,144.28,100.4,0.016
132.51,114.04,153.42,92.38,0.033
132.51,114.04,163.1,85.01,0.05
132.51,114.04,173.27,78.34,0.067
133.91,113.17,183.75,72.47,0.084
138.13,111.24,194.75,67.27,0.1
146.84,106.42,206.08,62.85,0.117
153.23,102.31,217.77,59.22,0.134
159.57,98.69,229.53,56.45,0.15
162.89,96.87,241.46,54.5,0.167
167.11,95.3,253.58,53.39,0.183
170.32,93.85,265.73,53.12,0.2
173.04,92.82,277.88,53.7,0.217
178.51,90.36,289.89,55.12,0.237
189.29,84.43,301.84,57.38,0.25
204.96,75.63,312.9,60.27,0.266
224.92,68.29,324.5,64.15,0.282
248.87,61.95,336.2,69.03,0.3
274.04,60.48,347.06,74.5,0.317
299.2,60.48,357.52,80.71,0.334
320.84,65.21,367.57,87.68,0.35
342.25,74.17,376.45,94.78,0.366
362.99,84.51,385.88,103.45,0.383
384.13,97.19,394.17,112.26,0.4
406.83,111.84,401.91,121.73,0.417
429.99,127.53,408.89,131.6,0.434
442.85,137.85,414.92,141.49,0.449
454.75,148.51,420.74,152.74,0.467
462.38,156.13,425.55,163.91,0.483
467.35,164.52,429.54,175.32,0.5
470.99,175.5,432.76,187.13,0.517
472.57,186.48,435.13,198.98,0.533
472.99,193.78,436.66,211.05,0.55
472.99,201.08,437.36,223.19,0.567
472.99,207.78,437.2,235.28,0.583
469.34,214.2,436.2,247.4,0.6
463.7,220.73,434.36,259.35,0.617
456.58,228.86,431.85,270.58,0.633
447.55,239.02,428.39,282.24,0.649
428.99,260.64,423.9,294.16,0.667
418.19,275.86,419.11,304.63,0.683
410.17,287.37,413.01,315.81,0.7
401.28,300.4,406.81,325.51,0.716
393.37,311.74,399.21,335.74,0.733
386.93,322.46,391.27,344.96,0.75
380.49,333.25,382.66,353.65,0.767
373.32,344.25,373.58,361.62,0.783
366.34,354.44,363.9,368.99,0.8
358.83,364.14,353.73,375.66,0.817
350.24,372.72,343.18,381.57,0.833
341.59,378.82,332.25,386.73,0.85
331.9,383.43,320.92,391.15,0.867
321.73,385.96,309.3,394.76,0.884
