mouseX,mouseY,flowerX,flowerY,time_s
376.0,139.54,296.4,55.6,2.5
376.0,139.54,290.36,54.68,2.516
376.0,139.54,284.54,54.0,2.532
375.06,139.54,278.15,53.48,2.551
366.61,133.96,272.3,53.2,2.566
353.86,123.05,265.86,53.13,2.584
327.35,102.71,259.71,53.28,2.601
313.3,94.76,253.57,53.64,2.617
297.17,86.69,247.48,54.21,2.634
283.29,82.03,241.38,55.0,2.651
272.3,79.4,235.67,55.94,2.666
267.21,78.38,229.64,57.14,2.682
254.17,74.98,223.33,58.63,2.7
246.22,73.57,217.4,60.26,2.717
244.37,73.2,211.53,62.1,2.733
235.39,71.92,205.76,64.13,2.75
233.54,71.92,200.07,66.36,2.766
230.66,71.92,194.39,68.81,2.784
229.51,71.92,188.86,71.43,2.801
227.63,71.92,183.37,74.28,2.818
224.84,71.92,178.07,77.26,2.834
220.61,72.68,172.82,80.47,2.85
214.0,73.55,167.68,83.85,2.867
206.75,74.9,162.97,87.19,2.883
198.1,76.82,157.81,91.12,2.9
189.44,79.23,153.06,95.03,2.917
180.03,82.67,148.47,99.07,2.934
171.12,87.13,144.0,103.29,2.95
162.92,91.48,139.68,107.67,2.967
155.9,96.14,135.54,112.17,2.984
149.36,101.29,131.53,116.84,3.0
143.11,107.54,127.69,121.64,3.017
137.02,113.61,124.22,126.31,3.033
132.55,118.96,120.55,131.61,3.051
128.83,123.06,117.23,136.79,3.067
126.56,126.41,114.1,142.09,3.084
124.4,130.94,111.17,147.45,3.1
123.61,135.7,108.41,152.95,3.117
122.81,140.52,105.87,158.51,3.134
121.5,146.2,103.51,164.16,3.151
119.91,150.96,101.33,169.95,3.167
117.23,157.03,99.38,175.74,3.184
115.38,160.35,97.62,181.64,3.201
112.99,165.16,96.08,187.55,3.217
111.34,170.52,94.73,193.55,3.234
109.64,176.46,93.6,199.6,3.25
107.09,182.41,92.68,205.68,3.267
104.36,189.7,91.97,211.79,3.284
101.95,198.35,91.48,217.89,3.301
99.41,208.52,91.2,223.99,3.317
96.94,217.92,91.13,230.18,3.334
95.01,226.57,91.28,236.29,3.35
92.6,235.22,91.64,242.43,3.367
90.79,242.46,92.21,248.52,3.384
88.92,250.41,93.0,254.59,3.401
87.56,257.65,94.0,260.69,3.417
86.68,264.24,95.21,266.69,3.434
86.23,271.48,96.62,272.63,3.45
86.23,278.73,98.25,278.57,3.467
86.23,284.08,100.09,284.44,3.484
86.23,290.02,102.13,290.24,3.5
86.62,294.25,104.37,295.97,3.517
88.46,297.57,106.66,301.28,3.533
91.69,301.16,109.43,307.14,3.55
96.22,304.45,112.26,312.6,3.567
101.94,307.96,115.26,317.93,3.584
107.65,311.46,118.47,323.18,3.601
112.18,314.41,121.83,328.29,3.617
117.9,318.37,125.32,333.21,3.634
122.99,322.19,129.12,338.19,3.65
128.09,325.59,132.79,342.66,3.666
134.42,330.11,136.87,347.31,3.683
140.14,334.49,141.06,351.77,3.699
148.57,341.59,145.67,356.32,3.718
149.59,342.61,149.92,360.24,3.732
155.07,348.04,154.58,364.26,3.749
161.44,355.26,159.38,368.11,3.766
165.82,360.97,164.55,371.96,3.784
169.42,365.0,169.61,375.45,3.801
172.7,369.53,174.79,378.77,3.817
175.39,372.99,180.06,381.88,3.834
177.13,375.4,185.45,384.83,3.85
179.09,377.05,190.95,387.59,3.867
182.01,379.26,196.55,390.15,3.884
185.32,380.76,202.19,392.5,3.9
189.01,382.24,207.91,394.65,3.917
192.22,383.32,213.74,396.62,3.934
196.44,384.08,219.64,398.38,3.95
201.2,384.08,225.55,399.92,3.967
207.79,384.08,231.55,401.27,3.983
216.44,384.08,237.6,402.4,4.0
225.85,382.09,243.68,403.32,4.017
234.5,379.68,249.79,404.03,4.033
241.74,377.87,255.89,404.52,4.05
247.91,376.54,262.03,404.81,4.067
254.5,375.23,268.14,404.87,4.084
259.85,374.41,274.29,404.72,4.101
267.15,373.5,280.43,404.36,4.117
270.89,373.1,286.56,403.78,4.134
275.65,372.7,292.62,403.0,4.151
280.63,372.36,298.66,402.0,4.167
287.34,371.96,304.69,400.79,4.184
293.28,371.53,310.67,399.37,4.201
298.1,370.73,316.6,397.74,4.217
303.45,370.31,322.47,395.9,4.234
310.05,369.94,328.24,393.87,4.25
313.79,369.94,333.97,391.63,4.267
317.54,369.54,339.61,389.19,4.284
323.54,369.54,345.14,386.57,4.3
328.89,369.54,350.6,383.74,4.317
335.48,369.54,355.93,380.74,4.334
340.46,369.54,361.18,377.53,4.35
346.41,369.54,366.32,374.15,4.367
351.17,369.14,371.3,370.61,4.384
353.55,368.34,376.19,366.88,4.4
361.45,364.17,380.92,363.0,4.418
365.02,361.44,385.29,359.16,4.433
370.36,356.96,390.0,354.71,4.451
375.03,352.29,394.32,350.33,4.467
379.84,344.59,398.46,345.83,4.484
384.78,336.17,402.47,341.16,4.5
389.1,327.99,406.29,336.39,4.517
392.72,320.74,409.76,331.72,4.533
396.45,312.79,413.45,326.39,4.55
399.81,304.13,416.59,321.49,4.566
402.05,297.42,419.9,315.91,4.584
404.68,290.82,422.83,310.55,4.6
406.32,285.46,425.59,305.05,4.617
408.46,279.45,428.13,299.49,4.634
410.11,274.09,430.5,293.81,4.651
411.72,269.75,432.54,288.4,4.666
413.75,264.39,434.62,282.26,4.684
414.91,260.16,436.29,276.68,4.699
416.45,255.93,437.92,270.45,4.717
418.03,251.11,439.2,264.77,4.733
419.25,245.75,440.4,258.4,4.75
420.38,241.52,441.32,252.32,4.767
422.76,234.37,442.03,246.25,4.783
423.86,230.67,442.52,240.11,4.8
425.5,225.2,442.81,233.97,4.817
427.04,220.97,442.87,227.86,4.834
428.2,216.74,442.72,221.71,4.851
429.73,212.51,442.36,215.57,4.867
430.49,208.28,441.78,209.44,4.884
431.3,202.8,441.0,203.41,4.9
432.07,198.24,440.0,197.31,4.917
432.41,194.49,438.79,191.31,4.933
432.8,190.26,437.37,185.33,4.95
432.8,187.04,435.74,179.4,4.967
432.8,184.73,433.9,173.53,4.984
