mouseX,mouseY,flowerX,flowerY,time_s
139.13,110.24,133.75,111.19,0.0
139.13,110.24,137.98,106.58,0.017
139.13,110.24,142.34,102.14,0.033
139.13,110.24,146.82,97.89,0.05
139.13,110.24,151.48,93.76,0.067
139.13,110.24,156.28,89.81,0.083
139.25,109.77,161.19,86.04,0.102
144.68,104.28,166.22,82.45,0.118
149.51,99.44,171.41,79.02,0.134
153.11,95.83,176.71,75.77,0.151
157.5,91.44,182.12,72.7,0.167
162.47,85.55,187.61,69.85,0.184
168.72,79.29,193.22,67.17,0.201
179.38,67.95,198.89,64.7,0.217
193.03,56.78,204.68,62.42,0.234
204.87,47.24,210.54,60.34,0.251
220.74,37.09,216.44,58.48,0.267
234.05,30.71,222.47,56.81,0.284
244.21,27.14,228.48,55.36,0.301
252.16,26.66,234.54,54.13,0.317
257.14,26.66,240.71,53.1,0.334
261.9,26.66,246.84,52.29,0.351
264.29,28.36,253.03,51.69,0.367
265.8,29.56,259.21,51.31,0.384
266.65,30.41,265.42,51.15,0.401
267.51,31.55,271.61,51.2,0.417
269.92,33.29,277.82,51.47,0.434
276.32,37.28,284.02,51.96,0.451
282.66,40.89,290.2,52.66,0.467
290.13,45.11,296.32,53.58,0.484
298.07,48.84,302.44,54.71,0.5
305.31,52.45,308.51,56.06,0.517
312.1,56.52,314.5,57.6,0.534
318.89,60.59,320.46,59.37,0.551
326.36,64.8,326.29,61.32,0.567
335.0,68.65,332.19,63.52,0.584
343.65,72.49,337.9,65.89,0.6
351.85,76.84,343.56,68.46,0.617
359.34,81.02,348.96,71.15,0.634
365.76,85.18,354.56,74.19,0.65
371.02,90.02,359.92,77.35,0.667
376.0,95.9,365.17,80.69,0.684
379.36,100.91,370.26,84.19,0.701
382.34,106.43,375.26,87.89,0.717
384.23,110.65,380.1,91.74,0.734
385.34,114.34,384.83,95.78,0.75
386.58,119.69,389.39,99.95,0.767
387.4,125.04,393.86,104.34,0.784
388.67,130.99,398.11,108.82,0.8
389.94,136.93,402.24,113.48,0.817
391.63,142.88,406.17,118.25,0.834
393.22,147.7,409.96,123.19,0.85
394.86,153.38,413.57,128.25,0.867
395.99,157.61,416.98,133.41,0.884
397.01,160.33,420.23,138.71,0.901
397.61,161.84,423.3,144.12,0.917
398.21,163.35,426.17,149.64,0.934
399.35,164.49,428.83,155.22,0.951
400.6,166.05,431.31,160.93,0.967
402.86,169.4,433.58,166.68,0.984
406.04,173.42,435.66,172.54,1.001
415.02,184.92,437.52,178.44,1.017
420.17,190.97,439.18,184.43,1.034
425.48,198.2,440.64,190.48,1.051
428.88,203.3,441.88,196.58,1.067
431.48,208.84,442.9,202.68,1.084
432.3,214.2,443.71,208.84,1.101
432.75,221.44,444.31,215.03,1.117
433.14,228.14,444.69,221.24,1.134
433.14,236.84,444.85,227.42,1.151
433.14,242.31,444.8,233.61,1.167
433.68,251.18,444.52,239.86,1.184
433.68,256.64,444.04,246.02,1.201
433.68,264.7,443.38,251.83,1.216
433.68,269.52,442.42,258.32,1.234
433.68,274.87,441.29,264.44,1.251
433.68,278.55,439.94,270.51,1.267
433.3,282.24,438.39,276.53,1.284
432.59,285.45,436.63,282.46,1.3
431.85,289.14,434.66,288.36,1.317
431.48,292.34,432.49,294.15,1.334
430.76,295.55,430.11,299.9,1.351
429.73,298.28,427.55,305.53,1.367
428.71,301.0,424.76,311.13,1.384
427.71,303.3,421.81,316.56,1.401
426.34,306.03,418.65,321.92,1.417
425.31,308.76,415.33,327.14,1.434
423.32,313.52,411.81,332.26,1.451
420.94,318.27,408.11,337.26,1.467
417.32,324.61,404.26,342.1,1.484
413.94,329.25,400.22,346.83,1.501
409.78,335.3,396.05,351.39,1.518
404.6,342.0,391.69,355.83,1.534
397.63,349.81,387.18,360.11,1.551
392.19,355.24,382.52,364.24,1.567
386.11,360.84,377.72,368.19,1.584
