mouseX,mouseY,flowerX,flowerY,time_s
384.49,101.02,370.59,86.87,2.5
383.29,99.5,368.21,85.16,2.517
382.03,97.93,365.79,83.49,2.534
380.52,96.73,363.36,81.87,2.55
379.0,95.52,360.89,80.28,2.567
377.12,94.27,358.5,78.8,2.583
374.81,92.95,355.89,77.24,2.601
372.5,91.64,353.34,75.78,2.617
369.77,90.61,350.77,74.35,2.634
367.46,89.64,348.19,72.99,2.651
363.71,87.77,345.57,71.65,2.668
359.48,85.86,342.95,70.37,2.684
356.26,84.07,340.29,69.12,2.7
350.09,80.55,337.61,67.92,2.717
347.3,78.81,334.93,66.77,2.734
343.97,76.96,332.19,65.65,2.75
341.23,75.59,329.47,64.59,2.767
338.93,74.93,326.74,63.58,2.784
337.04,74.3,323.96,62.6,2.801
335.53,74.02,321.18,61.68,2.817
333.64,73.38,318.38,60.8,2.834
331.34,72.72,315.58,59.97,2.851
329.03,72.06,312.75,59.18,2.867
325.35,70.72,309.91,58.44,2.884
323.04,69.75,307.05,57.74,2.901
320.73,68.75,304.2,57.1,2.918
318.43,67.77,301.34,56.51,2.934
314.2,65.84,298.46,55.96,2.95
309.43,63.85,295.56,55.46,2.967
302.83,60.76,292.68,55.01,2.984
298.61,58.83,289.75,54.6,3.001
293.78,57.24,286.86,54.25,3.017
290.09,56.13,283.93,53.94,3.034
287.78,55.81,281.03,53.68,3.05
285.89,55.81,278.1,53.47,3.067
283.95,55.81,275.18,53.31,3.084
281.64,55.49,272.41,53.21,3.1
278.91,55.49,269.31,53.14,3.117
275.7,55.15,266.39,53.12,3.133
272.48,55.15,263.45,53.16,3.15
269.75,55.15,260.52,53.24,3.167
266.53,54.8,257.58,53.38,3.184
263.8,54.8,254.83,53.55,3.2
261.06,54.46,251.9,53.77,3.216
257.85,54.46,248.82,54.07,3.234
253.02,54.46,245.9,54.39,3.25
249.27,54.46,243.0,54.77,3.269
244.28,54.46,240.1,55.19,3.284
240.05,54.46,237.2,55.67,3.301
235.82,54.46,234.31,56.19,3.317
232.61,54.46,231.62,56.72,3.333
229.39,55.17,228.75,57.33,3.35
226.18,55.54,225.73,58.03,3.367
221.35,56.32,222.88,58.75,3.384
218.14,57.03,220.06,59.5,3.401
213.91,57.79,217.24,60.31,3.417
208.36,58.16,214.44,61.16,3.434
206.05,58.5,211.63,62.07,3.451
203.75,58.84,208.87,63.01,3.467
202.23,59.15,206.12,64.0,3.484
200.35,59.78,203.37,65.04,3.5
198.04,60.74,200.64,66.12,3.517
195.64,62.11,197.93,67.25,3.535
192.86,63.84,195.24,68.43,3.552
189.53,66.42,192.57,69.65,3.568
186.57,68.63,189.94,70.91,3.584
184.58,70.21,187.45,72.14,3.599
180.14,73.53,184.72,73.56,3.617
177.63,75.66,182.15,74.95,3.634
175.12,77.79,179.59,76.39,3.65
173.46,79.75,177.05,77.87,3.667
171.5,81.4,174.55,79.38,3.684
170.27,82.59,172.2,80.86,3.7
169.4,83.45,169.59,82.56,3.717
168.88,83.96,167.18,84.2,3.734
