timestamp, mouseX, mouseY, flowerX, flowerY
2025-09-22T13:11:14.083, 130.00, 109.35, 140.01, 104.57
2025-09-22T13:11:14.099, 130.00, 109.35, 148.86, 96.24
2025-09-22T13:11:14.116, 130.00, 109.35, 158.29, 88.54
2025-09-22T13:11:14.132, 130.00, 109.35, 168.16, 81.57
2025-09-22T13:11:14.149, 130.00, 109.35, 178.56, 75.26
2025-09-22T13:11:14.166, 130.00, 109.35, 189.30, 69.73
2025-09-22T13:11:14.183, 130.00, 109.35, 200.48, 64.92
2025-09-22T13:11:14.199, 130.00, 109.35, 211.96, 60.92
2025-09-22T13:11:14.216, 130.00, 109.35, 223.70, 57.72
2025-09-22T13:11:14.232, 130.00, 109.35, 235.55, 55.36
2025-09-22T13:11:14.249, 130.00, 109.35, 247.55, 53.84
2025-09-22T13:11:14.269, 130.46, 108.88, 259.69, 53.14
2025-09-22T13:11:14.284, 134.70, 104.63, 271.85, 53.30
2025-09-22T13:11:14.300, 145.70, 94.79, 283.97, 54.31
2025-09-22T13:11:14.317, 161.68, 81.45, 295.92, 56.15
2025-09-22T13:11:14.334, 184.55, 62.39, 307.78, 58.83
2025-09-22T13:11:14.350, 213.49, 43.94, 319.43, 62.34
2025-09-22T13:11:14.366, 241.38, 29.96, 330.80, 66.65
2025-09-22T13:11:14.383, 267.05, 21.11, 341.78, 71.72
2025-09-22T13:11:14.400, 281.85, 17.63, 352.44, 77.57
2025-09-22T13:11:14.416, 298.23, 15.80, 362.61, 84.11
2025-09-22T13:11:14.433, 309.21, 15.80, 372.35, 91.38
2025-09-22T13:11:14.450, 317.86, 15.80, 381.56, 99.32
2025-09-22T13:11:14.466, 325.81, 19.07, 390.15, 107.84
2025-09-22T13:11:14.483, 334.23, 24.02, 398.17, 116.98
2025-09-22T13:11:14.500, 347.23, 32.90, 405.53, 126.66
2025-09-22T13:11:14.516, 359.97, 43.81, 412.20, 136.83
2025-09-22T13:11:14.533, 374.91, 57.45, 418.10, 147.38
2025-09-22T13:11:14.550, 392.19, 74.02, 423.29, 158.38
2025-09-22T13:11:14.566, 409.80, 91.63, 427.67, 169.65
2025-09-22T13:11:14.583, 424.73, 105.80, 431.28, 181.27
2025-09-22T13:11:14.600, 437.14, 119.45, 434.05, 193.03
2025-09-22T13:11:14.617, 444.70, 129.67, 436.01, 205.11
2025-09-22T13:11:14.634, 448.07, 138.32, 437.11, 217.08
2025-09-22T13:11:14.650, 449.76, 162.90, 437.38, 229.31
2025-09-22T13:11:14.666, 447.64, 185.70, 436.80, 241.38
2025-09-22T13:11:14.683, 441.66, 218.31, 435.37, 253.46
2025-09-22T13:11:14.700, 434.56, 249.87, 433.12, 265.34
2025-09-22T13:11:14.717, 427.82, 277.51, 430.02, 277.10
2025-09-22T13:11:14.733, 424.09, 293.41, 426.19, 288.41
2025-09-22T13:11:14.750, 419.24, 309.90, 421.44, 299.77
2025-09-22T13:11:14.766, 417.00, 316.61, 415.97, 310.63
2025-09-22T13:11:14.783, 412.82, 326.43, 409.75, 321.08
2025-09-22T13:11:14.800, 407.84, 334.63, 402.86, 331.01
2025-09-22T13:11:14.816, 402.07, 340.39, 395.25, 340.50
2025-09-22T13:11:14.833, 394.63, 346.32, 386.99, 349.43
2025-09-22T13:11:14.850, 387.61, 350.99, 378.19, 357.72
2025-09-22T13:11:14.867, 380.36, 354.61, 368.77, 365.41
2025-09-22T13:11:14.884, 373.56, 358.22, 358.84, 372.43
2025-09-22T13:11:14.900, 366.77, 361.84, 348.51, 378.70
2025-09-22T13:11:14.917, 358.56, 366.19, 337.63, 384.31
2025-09-22T13:11:14.934, 348.87, 370.79, 326.52, 389.08
2025-09-22T13:11:14.950, 339.96, 375.25, 315.04, 393.08
2025-09-22T13:11:14.966, 330.55, 378.72, 303.37, 396.26
2025-09-22T13:11:14.983, 320.38, 381.77, 291.45, 398.64
2025-09-22T13:11:15.000, 303.65, 384.73, 279.45, 400.16
2025-09-22T13:11:15.016, 278.79, 387.54, 267.24, 400.86
2025-09-22T13:11:15.033, 255.64, 388.92, 255.15, 400.70
2025-09-22T13:11:15.050, 222.70, 390.52, 243.03, 399.69
2025-09-22T13:11:15.067, 201.83, 390.52, 231.08, 397.85
2025-09-22T13:11:15.083, 187.38, 390.52, 219.22, 395.17
2025-09-22T13:11:15.100, 176.39, 390.52, 207.57, 391.66
2025-09-22T13:11:15.117, 165.07, 389.61, 196.27, 387.38
2025-09-22T13:11:15.133, 157.82, 386.44, 185.22, 382.28
2025-09-22T13:11:15.150, 149.39, 381.49, 174.62, 376.47
2025-09-22T13:11:15.167, 144.85, 378.20, 164.39, 369.89
2025-09-22T13:11:15.185, 141.25, 374.96, 154.65, 362.62
2025-09-22T13:11:15.201, 138.88, 371.60, 145.49, 354.73
2025-09-22T13:11:15.218, 137.29, 366.78, 136.85, 346.16
2025-09-22T13:11:15.233, 133.19, 357.59, 128.83, 337.02
2025-09-22T13:11:15.250, 128.89, 345.56, 121.51, 327.40
2025-09-22T13:11:15.266, 125.50, 336.85, 114.84, 317.23
2025-09-22T13:11:15.283, 122.72, 329.54, 108.90, 306.62
2025-09-22T13:11:15.300, 121.50, 324.72, 103.71, 295.62
2025-09-22T13:11:15.316, 121.13, 321.50, 99.33, 284.35
2025-09-22T13:11:15.333, 121.13, 318.29, 95.72, 272.73
2025-09-22T13:11:15.350, 120.64, 310.34, 92.95, 260.97
2025-09-22T13:11:15.366, 119.17, 301.63, 91.00, 248.96
2025-09-22T13:11:15.383, 116.74, 284.90, 89.88, 236.85
2025-09-22T13:11:15.400, 114.14, 265.39, 89.62, 224.69
2025-09-22T13:11:15.416, 110.50, 248.32, 90.20, 212.54
2025-09-22T13:11:15.433, 107.16, 236.66, 91.63, 200.54
2025-09-22T13:11:15.450, 102.93, 220.75, 93.90, 188.59
2025-09-22T13:11:15.467, 100.46, 211.33, 96.98, 176.90
2025-09-22T13:11:15.483, 99.36, 198.32, 100.88, 165.38
2025-09-22T13:11:15.500, 99.36, 181.82, 105.59, 154.17
2025-09-22T13:11:15.516, 102.17, 160.11, 110.93, 143.56
2025-09-22T13:11:15.533, 106.51, 143.04, 117.25, 132.92
2025-09-22T13:11:15.550, 109.02, 133.52, 124.18, 122.93
2025-09-22T13:11:15.566, 111.90, 124.80, 131.80, 113.44
2025-09-22T13:11:15.583, 113.03, 121.05, 140.06, 104.52
2025-09-22T13:11:15.600, 113.94, 119.54, 148.86, 96.24
2025-09-22T13:11:15.617, 115.25, 117.94, 158.29, 88.54
2025-09-22T13:11:15.633, 119.36, 114.22, 168.16, 81.57
2025-09-22T13:11:15.650, 128.16, 107.44, 178.56, 75.26
2025-09-22T13:11:15.667, 136.83, 101.28, 189.31, 69.72
2025-09-22T13:11:15.683, 151.24, 92.53, 200.48, 64.92
2025-09-22T13:11:15.700, 170.29, 80.86, 211.96, 60.92
2025-09-22T13:11:15.717, 186.16, 70.70, 223.70, 57.72
2025-09-22T13:11:15.733, 208.02, 59.02, 235.48, 55.37
2025-09-22T13:11:15.750, 222.82, 52.50, 247.62, 53.83
2025-09-22T13:11:15.766, 236.36, 48.55, 259.40, 53.15
2025-09-22T13:11:15.783, 248.16, 46.40, 271.85, 53.30
2025-09-22T13:11:15.799, 258.32, 45.89, 283.68, 54.28
2025-09-22T13:11:15.816, 269.30, 45.89, 295.99, 56.16
2025-09-22T13:11:15.833, 280.28, 45.89, 307.78, 58.83
2025-09-22T13:11:15.850, 291.26, 46.96, 319.36, 62.32
2025-09-22T13:11:15.867, 301.43, 50.00, 330.80, 66.65
2025-09-22T13:11:15.883, 310.07, 53.37, 341.84, 71.75
2025-09-22T13:11:15.900, 318.02, 57.10, 352.44, 77.57
2025-09-22T13:11:15.916, 325.03, 61.76, 362.67, 84.15
2025-09-22T13:11:15.933, 331.56, 66.91, 372.35, 91.38
2025-09-22T13:11:15.950, 336.99, 72.34, 381.51, 99.27
2025-09-22T13:11:15.967, 341.83, 77.60, 390.15, 107.84
2025-09-22T13:11:15.983, 345.98, 83.14, 398.17, 116.98
2025-09-22T13:11:16.000, 350.37, 88.86, 405.53, 126.66
2025-09-22T13:11:16.016, 355.20, 94.12, 412.20, 136.83
2025-09-22T13:11:16.033, 364.09, 104.11, 418.10, 147.38
2025-09-22T13:11:16.050, 371.32, 111.90, 423.29, 158.38
2025-09-22T13:11:16.067, 380.34, 122.05, 427.67, 169.65
2025-09-22T13:11:16.083, 385.09, 128.50, 431.22, 181.06
2025-09-22T13:11:16.100, 389.95, 135.73, 434.06, 193.10
2025-09-22T13:11:16.117, 393.98, 144.72, 436.01, 205.11
2025-09-22T13:11:16.133, 396.07, 156.04, 437.12, 217.15
2025-09-22T13:11:16.150, 397.73, 169.64, 437.38, 229.23
2025-09-22T13:11:16.167, 399.02, 189.14, 436.80, 241.38
2025-09-22T13:11:16.184, 400.17, 203.95, 435.36, 253.53
2025-09-22T13:11:16.200, 400.79, 221.31, 433.10, 265.41
2025-09-22T13:11:16.216, 400.79, 237.70, 430.02, 277.10
2025-09-22T13:11:16.232, 400.79, 259.57, 426.32, 288.07
2025-09-22T13:11:16.249, 400.79, 276.93, 421.44, 299.77
2025-09-22T13:11:16.267, 399.04, 295.73, 415.97, 310.63
2025-09-22T13:11:16.284, 397.48, 306.71, 409.75, 321.08
2025-09-22T13:11:16.300, 395.47, 314.98, 402.82, 331.07
2025-09-22T13:11:16.316, 392.83, 321.58, 395.25, 340.50
2025-09-22T13:11:16.333, 389.21, 327.91, 386.99, 349.43
2025-09-22T13:11:16.350, 385.58, 334.25, 378.14, 357.76
2025-09-22T13:11:16.366, 381.96, 340.59, 368.71, 365.46
2025-09-22T13:11:16.383, 377.57, 346.30, 358.84, 372.43
2025-09-22T13:11:16.400, 372.55, 352.21, 348.44, 378.74
2025-09-22T13:11:16.416, 366.92, 358.26, 337.69, 384.28
2025-09-22T13:11:16.433, 359.96, 365.18, 326.52, 389.08
2025-09-22T13:11:16.450, 348.11, 374.57, 315.04, 393.08
2025-09-22T13:11:16.466, 333.30, 381.09, 303.37, 396.26
2025-09-22T13:11:16.483, 320.51, 385.06, 291.45, 398.64
2025-09-22T13:11:16.500, 296.04, 389.29, 279.38, 400.17
2025-09-22T13:11:16.516, 276.59, 391.22, 267.24, 400.86
2025-09-22T13:11:16.533, 257.14, 391.22, 255.15, 400.70
2025-09-22T13:11:16.550, 239.25, 391.22, 243.10, 399.70
