timestamp, mouseX, mouseY, flowerX, flowerY
2025-09-22T13:29:00.920, 134.09, 102.75, 137.21, 110.31
2025-09-22T13:29:00.936, 134.09, 102.75, 146.20, 101.17
2025-09-22T13:29:00.953, 134.09, 102.75, 155.37, 93.09
2025-09-22T13:29:00.970, 134.09, 102.75, 165.15, 85.62
2025-09-22T13:29:00.986, 134.09, 102.75, 175.35, 78.89
2025-09-22T13:29:01.004, 135.81, 101.72, 186.13, 72.82
2025-09-22T13:29:01.021, 143.18, 96.26, 197.18, 67.58
2025-09-22T13:29:01.037, 148.72, 92.09, 208.57, 63.11
2025-09-22T13:29:01.054, 155.25, 86.46, 220.30, 59.44
2025-09-22T13:29:01.071, 160.97, 82.52, 232.20, 56.60
2025-09-22T13:29:01.087, 165.50, 78.81, 244.33, 54.59
2025-09-22T13:29:01.104, 169.07, 75.23, 256.58, 53.43
2025-09-22T13:29:01.120, 177.32, 68.90, 268.87, 53.13
2025-09-22T13:29:01.137, 187.78, 61.19, 281.16, 53.69
2025-09-22T13:29:01.154, 197.46, 54.78, 293.38, 55.11
2025-09-22T13:29:01.170, 211.73, 47.67, 305.33, 57.35
2025-09-22T13:29:01.187, 225.95, 41.15, 317.30, 60.47
2025-09-22T13:29:01.204, 238.95, 36.04, 328.89, 64.37
2025-09-22T13:29:01.221, 257.70, 30.25, 340.24, 69.10
2025-09-22T13:29:01.238, 275.07, 26.53, 351.18, 74.58
2025-09-22T13:29:01.254, 288.83, 25.91, 361.76, 80.84
2025-09-22T13:29:01.270, 305.21, 25.91, 371.89, 87.82
2025-09-22T13:29:01.287, 323.84, 25.91, 381.50, 95.50
2025-09-22T13:29:01.303, 332.45, 28.90, 390.50, 103.78
2025-09-22T13:29:01.321, 339.91, 32.66, 398.95, 112.72
2025-09-22T13:29:01.337, 347.66, 37.46, 406.75, 122.22
2025-09-22T13:29:01.354, 361.61, 47.16, 413.88, 132.25
2025-09-22T13:29:01.370, 377.82, 58.82, 420.24, 142.69
2025-09-22T13:29:01.387, 391.04, 70.13, 425.90, 153.61
2025-09-22T13:29:01.403, 403.16, 81.66, 430.75, 164.83
2025-09-22T13:29:01.419, 407.68, 87.30, 434.71, 176.02
2025-09-22T13:29:01.437, 420.47, 109.57, 438.10, 188.30
2025-09-22T13:29:01.453, 426.08, 127.00, 440.52, 200.28
2025-09-22T13:29:01.470, 435.04, 153.90, 442.10, 212.48
2025-09-22T13:29:01.487, 443.54, 184.13, 442.83, 224.76
2025-09-22T13:29:01.504, 451.42, 215.69, 442.70, 236.99
2025-09-22T13:29:01.520, 455.14, 243.33, 441.71, 249.25
2025-09-22T13:29:01.536, 456.54, 255.30, 439.88, 261.34
2025-09-22T13:29:01.554, 459.16, 284.34, 437.20, 273.34
2025-09-22T13:29:01.570, 460.45, 303.84, 433.68, 285.13
2025-09-22T13:29:01.587, 460.45, 318.31, 429.35, 296.64
2025-09-22T13:29:01.604, 460.45, 327.72, 424.26, 307.76
2025-09-22T13:29:01.619, 457.14, 335.18, 418.67, 318.05
2025-09-22T13:29:01.637, 450.72, 342.61, 411.78, 328.86
2025-09-22T13:29:01.654, 443.28, 349.03, 404.40, 338.79
2025-09-22T13:29:01.670, 435.14, 355.13, 396.44, 348.07
2025-09-22T13:29:01.687, 427.70, 361.06, 387.80, 356.83
2025-09-22T13:29:01.703, 420.68, 365.73, 378.63, 364.91
2025-09-22T13:29:01.721, 410.51, 369.79, 368.86, 372.38
2025-09-22T13:29:01.737, 392.10, 373.62, 358.58, 379.15
2025-09-22T13:29:01.754, 370.45, 375.64, 347.93, 385.15
2025-09-22T13:29:01.770, 353.95, 376.85, 336.82, 390.42
2025-09-22T13:29:01.787, 343.55, 377.41, 325.43, 394.89
2025-09-22T13:29:01.804, 323.18, 379.05, 313.70, 398.56
2025-09-22T13:29:01.820, 315.22, 380.43, 301.73, 401.41
2025-09-22T13:29:01.837, 306.57, 382.35, 289.67, 403.41
2025-09-22T13:29:01.853, 297.15, 384.33, 277.35, 404.57
2025-09-22T13:29:01.870, 285.35, 385.93, 265.20, 404.87
2025-09-22T13:29:01.887, 272.67, 387.59, 252.84, 404.31
2025-09-22T13:29:01.904, 261.68, 389.68, 240.69, 402.90
2025-09-22T13:29:01.920, 251.51, 392.22, 228.60, 400.63
2025-09-22T13:29:01.937, 242.10, 393.69, 216.77, 397.55
2025-09-22T13:29:01.954, 231.11, 395.27, 205.11, 393.63
