timestamp, mouseX, mouseY, flowerX, flowerY
2025-09-22T13:08:05.100, 131.78, 112.97, 140.01, 104.57
2025-09-22T13:08:05.116, 131.78, 112.97, 148.81, 96.28
2025-09-22T13:08:05.133, 131.78, 112.97, 158.23, 88.59
2025-09-22T13:08:05.150, 131.78, 112.97, 168.16, 81.57
2025-09-22T13:08:05.166, 131.78, 112.97, 178.56, 75.26
2025-09-22T13:08:05.183, 131.78, 112.97, 189.31, 69.72
2025-09-22T13:08:05.200, 131.78, 112.97, 200.48, 64.92
2025-09-22T13:08:05.216, 131.78, 112.97, 211.96, 60.92
2025-09-22T13:08:05.232, 131.78, 112.97, 222.99, 57.89
2025-09-22T13:08:05.253, 132.95, 112.27, 235.55, 55.36
2025-09-22T13:08:05.267, 140.18, 106.95, 247.62, 53.83
2025-09-22T13:08:05.284, 151.80, 98.71, 259.69, 53.14
2025-09-22T13:08:05.300, 177.50, 80.61, 271.85, 53.30
2025-09-22T13:08:05.317, 208.27, 61.47, 283.90, 54.30
2025-09-22T13:08:05.334, 238.50, 44.31, 295.99, 56.16
2025-09-22T13:08:05.350, 267.21, 31.74, 307.78, 58.83
2025-09-22T13:08:05.367, 296.12, 24.89, 319.36, 62.32
2025-09-22T13:08:05.384, 321.28, 24.18, 330.73, 66.62
2025-09-22T13:08:05.401, 345.23, 24.89, 341.78, 71.72
2025-09-22T13:08:05.417, 366.65, 33.85, 352.38, 77.53
2025-09-22T13:08:05.434, 379.65, 41.57, 362.61, 84.11
2025-09-22T13:08:05.450, 391.91, 50.29, 372.35, 91.38
2025-09-22T13:08:05.467, 400.36, 58.16, 381.51, 99.27
2025-09-22T13:08:05.484, 406.96, 66.29, 390.20, 107.89
2025-09-22T13:08:05.500, 413.07, 74.93, 398.12, 116.92
2025-09-22T13:08:05.517, 418.29, 84.87, 405.53, 126.66
2025-09-22T13:08:05.534, 422.61, 93.04, 412.16, 136.77
2025-09-22T13:08:05.550, 425.86, 100.98, 418.10, 147.38
2025-09-22T13:08:05.567, 429.19, 109.69, 423.29, 158.38
2025-09-22T13:08:05.584, 433.70, 123.29, 427.67, 169.65
2025-09-22T13:08:05.601, 438.66, 140.71, 431.26, 181.20
2025-09-22T13:08:05.617, 441.03, 154.47, 434.06, 193.10
2025-09-22T13:08:05.634, 442.63, 165.14, 436.01, 205.04
2025-09-22T13:08:05.651, 443.65, 175.31, 437.11, 217.08
2025-09-22T13:08:05.667, 443.65, 188.45, 437.38, 229.31
2025-09-22T13:08:05.684, 443.65, 197.86, 436.80, 241.38
2025-09-22T13:08:05.700, 442.29, 214.57, 435.37, 253.46
2025-09-22T13:08:05.717, 441.21, 226.43, 433.12, 265.34
2025-09-22T13:08:05.734, 439.52, 239.96, 430.02, 277.10
2025-09-22T13:08:05.750, 436.84, 251.76, 426.12, 288.62
2025-09-22T13:08:05.767, 433.19, 262.74, 421.41, 299.83
2025-09-22T13:08:05.784, 429.63, 272.91, 415.97, 310.63
2025-09-22T13:08:05.800, 425.95, 283.89, 409.75, 321.08
2025-09-22T13:08:05.817, 422.20, 295.68, 402.86, 331.01
2025-09-22T13:08:05.834, 418.44, 307.48, 395.25, 340.50
2025-09-22T13:08:05.850, 411.41, 324.73, 387.05, 349.38
2025-09-22T13:08:05.867, 402.30, 339.28, 378.19, 357.72
2025-09-22T13:08:05.884, 389.02, 355.82, 368.77, 365.41
2025-09-22T13:08:05.901, 371.03, 371.69, 358.84, 372.43
2025-09-22T13:08:05.917, 350.59, 385.07, 348.51, 378.70
2025-09-22T13:08:05.933, 335.36, 391.16, 337.83, 384.21
2025-09-22T13:08:05.950, 318.58, 397.41, 327.06, 388.86
2025-09-22T13:08:05.967, 306.72, 400.12, 315.11, 393.06
2025-09-22T13:08:05.984, 296.55, 401.64, 303.37, 396.26
2025-09-22T13:08:06.000, 286.38, 402.66, 291.45, 398.64
2025-09-22T13:08:06.017, 274.57, 403.20, 279.45, 400.16
2025-09-22T13:08:06.034, 262.77, 403.20, 267.31, 400.86
2025-09-22T13:08:06.050, 252.59, 403.20, 255.15, 400.70
2025-09-22T13:08:06.067, 243.18, 403.20, 243.10, 399.70
2025-09-22T13:08:06.084, 235.23, 400.90, 231.08, 397.85
2025-09-22T13:08:06.100, 222.75, 394.07, 219.22, 395.17
2025-09-22T13:08:06.117, 212.16, 386.27, 207.64, 391.68
2025-09-22T13:08:06.134, 200.00, 378.17, 196.27, 387.38
2025-09-22T13:08:06.150, 192.87, 373.92, 185.22, 382.28
2025-09-22T13:08:06.167, 186.04, 370.24, 174.62, 376.47
2025-09-22T13:08:06.184, 178.57, 367.41, 164.33, 369.85
2025-09-22T13:08:06.200, 169.70, 363.98, 154.65, 362.62
2025-09-22T13:08:06.217, 159.47, 357.48, 145.49, 354.73
