timestamp, mouseX, mouseY, flowerX, flowerY
2025-09-22T13:11:48.149, 131.55, 109.51, 133.74, 111.23
2025-09-22T13:11:48.166, 131.55, 109.51, 137.87, 106.76
2025-09-22T13:11:48.183, 131.55, 109.51, 142.15, 102.44
2025-09-22T13:11:48.199, 131.55, 109.51, 146.56, 98.30
2025-09-22T13:11:48.216, 131.55, 109.51, 151.13, 94.29
2025-09-22T13:11:48.232, 131.55, 109.51, 155.81, 90.46
2025-09-22T13:11:48.248, 131.55, 109.51, 160.47, 86.91
2025-09-22T13:11:48.266, 131.55, 109.51, 165.62, 83.27
2025-09-22T13:11:48.283, 131.55, 109.51, 170.67, 79.95
2025-09-22T13:11:48.299, 131.55, 109.51, 175.87, 76.80
2025-09-22T13:11:48.317, 131.55, 109.51, 181.18, 73.82
2025-09-22T13:11:48.332, 131.55, 109.51, 186.55, 71.05
2025-09-22T13:11:48.351, 132.71, 108.58, 192.05, 68.46
2025-09-22T13:11:48.367, 140.40, 103.20, 197.64, 66.06
2025-09-22T13:11:48.383, 152.87, 95.84, 203.27, 63.87
2025-09-22T13:11:48.400, 166.49, 86.95, 209.01, 61.86
2025-09-22T13:11:48.417, 182.02, 76.96, 214.82, 60.05
2025-09-22T13:11:48.433, 192.38, 70.41, 220.65, 58.46
2025-09-22T13:11:48.450, 206.29, 64.62, 226.57, 57.07
2025-09-22T13:11:48.466, 217.57, 59.76, 232.50, 55.89
2025-09-22T13:11:48.483, 224.50, 57.86, 238.51, 54.91
2025-09-22T13:11:48.500, 231.70, 56.24, 244.54, 54.14
2025-09-22T13:11:48.516, 233.63, 55.95, 250.60, 53.58
2025-09-22T13:11:48.533, 234.77, 55.95, 256.63, 53.24
2025-09-22T13:11:48.549, 235.29, 55.95, 262.38, 53.11
2025-09-22T13:11:48.566, 235.54, 55.95, 268.76, 53.18
2025-09-22T13:11:48.583, 235.78, 55.95, 274.83, 53.47
2025-09-22T13:11:48.599, 236.30, 55.95, 280.89, 53.97
2025-09-22T13:11:48.616, 237.13, 55.95, 286.57, 54.64
2025-09-22T13:11:48.635, 240.33, 55.95, 292.94, 55.61
2025-09-22T13:11:48.651, 246.28, 56.37, 298.88, 56.74
2025-09-22T13:11:48.668, 254.98, 56.82, 304.82, 58.08
2025-09-22T13:11:48.683, 265.14, 57.84, 310.66, 59.62
2025-09-22T13:11:48.700, 276.94, 58.91, 316.45, 61.36
2025-09-22T13:11:48.716, 288.74, 59.98, 322.21, 63.31
2025-09-22T13:11:48.733, 299.72, 61.02, 327.90, 65.47
2025-09-22T13:11:48.750, 309.13, 62.52, 333.51, 67.82
2025-09-22T13:11:48.767, 318.53, 64.01, 339.03, 70.36
2025-09-22T13:11:48.783, 327.18, 65.93, 344.43, 73.08
2025-09-22T13:11:48.800, 334.42, 68.64, 349.80, 76.03
2025-09-22T13:11:48.817, 342.37, 71.89, 354.99, 79.12
2025-09-22T13:11:48.833, 349.83, 76.11, 360.11, 82.41
2025-09-22T13:11:48.849, 357.30, 80.32, 365.08, 85.85
2025-09-22T13:11:48.866, 363.63, 84.84, 369.95, 89.49
2025-09-22T13:11:48.883, 369.18, 89.50, 374.66, 93.27
2025-09-22T13:11:48.900, 373.84, 94.17, 379.27, 97.24
2025-09-22T13:11:48.916, 377.66, 98.84, 383.71, 101.35
2025-09-22T13:11:48.933, 381.06, 103.93, 388.03, 105.63
2025-09-22T13:11:48.949, 383.02, 108.27, 391.96, 109.79
2025-09-22T13:11:48.967, 385.16, 114.27, 396.21, 114.63
2025-09-22T13:11:48.983, 385.93, 118.49, 400.04, 119.31
2025-09-22T13:11:48.999, 386.74, 123.84, 403.53, 123.88
2025-09-22T13:11:49.017, 387.14, 130.98, 407.23, 129.12
2025-09-22T13:11:49.034, 387.50, 134.67, 410.55, 134.17
2025-09-22T13:11:49.050, 387.50, 138.89, 413.70, 139.37
2025-09-22T13:11:49.065, 387.50, 140.25, 416.50, 144.36
2025-09-22T13:11:49.083, 388.55, 144.82, 419.46, 150.08
2025-09-22T13:11:49.100, 389.26, 148.03, 422.04, 155.55
2025-09-22T13:11:49.116, 389.96, 151.24, 424.44, 161.14
2025-09-22T13:11:49.133, 391.75, 154.08, 426.63, 166.77
2025-09-22T13:11:49.150, 393.17, 157.29, 428.64, 172.51
2025-09-22T13:11:49.166, 395.97, 161.31, 430.45, 178.32
2025-09-22T13:11:49.183, 398.41, 165.41, 432.04, 184.15
2025-09-22T13:11:49.200, 401.69, 169.95, 433.43, 190.07
2025-09-22T13:11:49.216, 405.62, 175.66, 434.61, 196.00
2025-09-22T13:11:49.233, 409.78, 181.71, 435.60, 202.04
2025-09-22T13:11:49.250, 413.29, 187.03, 436.36, 208.08
2025-09-22T13:11:49.266, 414.56, 190.00, 436.89, 213.77
2025-09-22T13:11:49.283, 417.92, 198.98, 437.25, 219.80
2025-09-22T13:11:49.300, 420.72, 206.92, 437.40, 226.18
2025-09-22T13:11:49.315, 423.20, 216.33, 437.33, 231.97
2025-09-22T13:11:49.332, 425.80, 227.31, 437.05, 238.00
2025-09-22T13:11:49.350, 427.35, 238.29, 436.53, 244.39
2025-09-22T13:11:49.366, 428.36, 248.45, 435.82, 250.40
2025-09-22T13:11:49.383, 428.36, 257.86, 434.89, 256.41
2025-09-22T13:11:49.400, 428.36, 267.26, 433.76, 262.38
2025-09-22T13:11:49.416, 427.96, 273.26, 432.43, 268.28
2025-09-22T13:11:49.433, 426.69, 279.21, 430.88, 274.16
2025-09-22T13:11:49.450, 424.45, 285.91, 429.13, 279.99
