timestamp, mouseX, mouseY, flowerX, flowerY
2025-09-22T13:27:29.974, 139.13, 110.24, 133.75, 111.19
2025-09-22T13:27:29.991, 139.13, 110.24, 137.98, 106.58
2025-09-22T13:27:30.007, 139.13, 110.24, 142.34, 102.14
2025-09-22T13:27:30.024, 139.13, 110.24, 146.82, 97.89
2025-09-22T13:27:30.041, 139.13, 110.24, 151.48, 93.76
2025-09-22T13:27:30.057, 139.13, 110.24, 156.28, 89.81
2025-09-22T13:27:30.076, 139.25, 109.77, 161.19, 86.04
2025-09-22T13:27:30.092, 144.68, 104.28, 166.22, 82.45
2025-09-22T13:27:30.108, 149.51, 99.44, 171.41, 79.02
2025-09-22T13:27:30.125, 153.11, 95.83, 176.71, 75.77
2025-09-22T13:27:30.141, 157.50, 91.44, 182.12, 72.70
2025-09-22T13:27:30.158, 162.47, 85.55, 187.61, 69.85
2025-09-22T13:27:30.175, 168.72, 79.29, 193.22, 67.17
2025-09-22T13:27:30.191, 179.38, 67.95, 198.89, 64.70
2025-09-22T13:27:30.208, 193.03, 56.78, 204.68, 62.42
2025-09-22T13:27:30.225, 204.87, 47.24, 210.54, 60.34
2025-09-22T13:27:30.241, 220.74, 37.09, 216.44, 58.48
2025-09-22T13:27:30.258, 234.05, 30.71, 222.47, 56.81
2025-09-22T13:27:30.275, 244.21, 27.14, 228.48, 55.36
2025-09-22T13:27:30.291, 252.16, 26.66, 234.54, 54.13
2025-09-22T13:27:30.308, 257.14, 26.66, 240.71, 53.10
2025-09-22T13:27:30.325, 261.90, 26.66, 246.84, 52.29
2025-09-22T13:27:30.341, 264.29, 28.36, 253.03, 51.69
2025-09-22T13:27:30.358, 265.80, 29.56, 259.21, 51.31
2025-09-22T13:27:30.375, 266.65, 30.41, 265.42, 51.15
2025-09-22T13:27:30.391, 267.51, 31.55, 271.61, 51.20
2025-09-22T13:27:30.408, 269.92, 33.29, 277.82, 51.47
2025-09-22T13:27:30.425, 276.32, 37.28, 284.02, 51.96
2025-09-22T13:27:30.441, 282.66, 40.89, 290.20, 52.66
2025-09-22T13:27:30.458, 290.13, 45.11, 296.32, 53.58
2025-09-22T13:27:30.474, 298.07, 48.84, 302.44, 54.71
2025-09-22T13:27:30.491, 305.31, 52.45, 308.51, 56.06
2025-09-22T13:27:30.508, 312.10, 56.52, 314.50, 57.60
2025-09-22T13:27:30.525, 318.89, 60.59, 320.46, 59.37
2025-09-22T13:27:30.541, 326.36, 64.80, 326.29, 61.32
2025-09-22T13:27:30.558, 335.00, 68.65, 332.19, 63.52
2025-09-22T13:27:30.574, 343.65, 72.49, 337.90, 65.89
2025-09-22T13:27:30.591, 351.85, 76.84, 343.56, 68.46
2025-09-22T13:27:30.608, 359.34, 81.02, 348.96, 71.15
2025-09-22T13:27:30.624, 365.76, 85.18, 354.56, 74.19
2025-09-22T13:27:30.641, 371.02, 90.02, 359.92, 77.35
2025-09-22T13:27:30.658, 376.00, 95.90, 365.17, 80.69
2025-09-22T13:27:30.675, 379.36, 100.91, 370.26, 84.19
2025-09-22T13:27:30.691, 382.34, 106.43, 375.26, 87.89
2025-09-22T13:27:30.708, 384.23, 110.65, 380.10, 91.74
2025-09-22T13:27:30.724, 385.34, 114.34, 384.83, 95.78
2025-09-22T13:27:30.741, 386.58, 119.69, 389.39, 99.95
2025-09-22T13:27:30.758, 387.40, 125.04, 393.86, 104.34
2025-09-22T13:27:30.774, 388.67, 130.99, 398.11, 108.82
2025-09-22T13:27:30.791, 389.94, 136.93, 402.24, 113.48
2025-09-22T13:27:30.808, 391.63, 142.88, 406.17, 118.25
2025-09-22T13:27:30.824, 393.22, 147.70, 409.96, 123.19
2025-09-22T13:27:30.841, 394.86, 153.38, 413.57, 128.25
2025-09-22T13:27:30.858, 395.99, 157.61, 416.98, 133.41
2025-09-22T13:27:30.875, 397.01, 160.33, 420.23, 138.71
2025-09-22T13:27:30.891, 397.61, 161.84, 423.30, 144.12
2025-09-22T13:27:30.908, 398.21, 163.35, 426.17, 149.64
2025-09-22T13:27:30.925, 399.35, 164.49, 428.83, 155.22
2025-09-22T13:27:30.941, 400.60, 166.05, 431.31, 160.93
2025-09-22T13:27:30.958, 402.86, 169.40, 433.58, 166.68
2025-09-22T13:27:30.975, 406.04, 173.42, 435.66, 172.54
2025-09-22T13:27:30.991, 415.02, 184.92, 437.52, 178.44
2025-09-22T13:27:31.008, 420.17, 190.97, 439.18, 184.43
2025-09-22T13:27:31.025, 425.48, 198.20, 440.64, 190.48
2025-09-22T13:27:31.041, 428.88, 203.30, 441.88, 196.58
2025-09-22T13:27:31.058, 431.48, 208.84, 442.90, 202.68
2025-09-22T13:27:31.075, 432.30, 214.20, 443.71, 208.84
2025-09-22T13:27:31.091, 432.75, 221.44, 444.31, 215.03
2025-09-22T13:27:31.108, 433.14, 228.14, 444.69, 221.24
2025-09-22T13:27:31.125, 433.14, 236.84, 444.85, 227.42
2025-09-22T13:27:31.141, 433.14, 242.31, 444.80, 233.61
2025-09-22T13:27:31.158, 433.68, 251.18, 444.52, 239.86
2025-09-22T13:27:31.175, 433.68, 256.64, 444.04, 246.02
2025-09-22T13:27:31.190, 433.68, 264.70, 443.38, 251.83
2025-09-22T13:27:31.208, 433.68, 269.52, 442.42, 258.32
2025-09-22T13:27:31.225, 433.68, 274.87, 441.29, 264.44
2025-09-22T13:27:31.241, 433.68, 278.55, 439.94, 270.51
2025-09-22T13:27:31.258, 433.30, 282.24, 438.39, 276.53
2025-09-22T13:27:31.274, 432.59, 285.45, 436.63, 282.46
2025-09-22T13:27:31.291, 431.85, 289.14, 434.66, 288.36
2025-09-22T13:27:31.308, 431.48, 292.34, 432.49, 294.15
2025-09-22T13:27:31.325, 430.76, 295.55, 430.11, 299.90
2025-09-22T13:27:31.341, 429.73, 298.28, 427.55, 305.53
