timestamp, mouseX, mouseY, flowerX, flowerY
2025-09-22T13:06:38.821, 132.59, 107.10, 133.65, 111.33
2025-09-22T13:06:38.838, 132.59, 107.10, 135.60, 109.18
2025-09-22T13:06:38.854, 132.59, 107.10, 137.59, 107.06
2025-09-22T13:06:38.871, 132.59, 107.10, 139.61, 104.97
2025-09-22T13:06:38.888, 132.59, 107.10, 141.65, 102.93
2025-09-22T13:06:38.904, 132.59, 107.10, 143.74, 100.91
2025-09-22T13:06:38.921, 132.59, 107.10, 145.85, 98.94
2025-09-22T13:06:38.938, 132.59, 107.10, 148.00, 97.00
2025-09-22T13:06:38.954, 132.59, 107.10, 150.19, 95.09
2025-09-22T13:06:38.971, 132.59, 107.10, 152.40, 93.22
2025-09-22T13:06:38.990, 132.59, 106.61, 154.65, 91.39
2025-09-22T13:06:39.005, 132.59, 105.46, 156.93, 89.59
2025-09-22T13:06:39.022, 132.59, 104.62, 159.22, 87.84
2025-09-22T13:06:39.038, 133.95, 101.89, 161.56, 86.12
2025-09-22T13:06:39.055, 135.48, 97.66, 163.91, 84.44
2025-09-22T13:06:39.072, 139.44, 91.93, 166.31, 82.80
2025-09-22T13:06:39.088, 145.35, 86.44, 168.73, 81.20
2025-09-22T13:06:39.105, 155.29, 81.21, 171.18, 79.63
2025-09-22T13:06:39.122, 161.99, 78.49, 173.63, 78.12
2025-09-22T13:06:39.139, 167.94, 76.36, 176.15, 76.63
2025-09-22T13:06:39.155, 171.14, 75.65, 178.66, 75.20
2025-09-22T13:06:39.172, 173.02, 75.33, 181.19, 73.82
2025-09-22T13:06:39.187, 173.54, 75.33, 183.62, 72.54
2025-09-22T13:06:39.205, 174.05, 75.33, 186.33, 71.16
2025-09-22T13:06:39.221, 174.05, 75.33, 188.96, 69.89
2025-09-22T13:06:39.238, 174.29, 75.33, 191.58, 68.67
2025-09-22T13:06:39.255, 174.53, 75.33, 194.23, 67.49
2025-09-22T13:06:39.272, 175.36, 75.07, 196.89, 66.36
2025-09-22T13:06:39.288, 176.86, 74.75, 199.58, 65.27
2025-09-22T13:06:39.305, 179.16, 74.09, 202.28, 64.24
2025-09-22T13:06:39.322, 182.37, 73.38, 205.02, 63.23
2025-09-22T13:06:39.338, 186.59, 72.61, 207.75, 62.28
2025-09-22T13:06:39.355, 190.34, 71.87, 210.49, 61.38
2025-09-22T13:06:39.372, 196.34, 70.56, 213.26, 60.52
2025-09-22T13:06:39.389, 200.08, 69.42, 216.05, 59.70
2025-09-22T13:06:39.405, 205.06, 68.17, 218.85, 58.93
2025-09-22T13:06:39.422, 209.29, 67.03, 221.64, 58.21
2025-09-22T13:06:39.439, 213.62, 65.41, 224.47, 57.54
2025-09-22T13:06:39.455, 219.09, 63.76, 227.30, 56.91
2025-09-22T13:06:39.472, 225.15, 61.85, 230.13, 56.33
2025-09-22T13:06:39.488, 228.84, 60.74, 232.99, 55.80
2025-09-22T13:06:39.505, 231.57, 60.05, 235.83, 55.32
2025-09-22T13:06:39.522, 233.87, 59.05, 238.70, 54.88
2025-09-22T13:06:39.538, 236.59, 58.02, 241.58, 54.49
2025-09-22T13:06:39.555, 239.91, 56.91, 244.47, 54.15
2025-09-22T13:06:39.572, 243.12, 56.20, 247.34, 53.86
2025-09-22T13:06:39.588, 246.80, 55.82, 250.23, 53.61
2025-09-22T13:06:39.605, 250.49, 55.08, 253.11, 53.41
2025-09-22T13:06:39.622, 253.70, 54.74, 256.03, 53.26
2025-09-22T13:06:39.638, 256.43, 54.39, 258.91, 53.16
2025-09-22T13:06:39.655, 260.34, 53.65, 261.80, 53.11
2025-09-22T13:06:39.672, 264.02, 53.28, 264.70, 53.11
2025-09-22T13:06:39.688, 268.25, 53.28, 267.61, 53.15
2025-09-22T13:06:39.705, 272.47, 52.91, 270.49, 53.24
2025-09-22T13:06:39.722, 276.16, 52.91, 273.41, 53.39
2025-09-22T13:06:39.739, 279.84, 52.91, 276.31, 53.57
2025-09-22T13:06:39.756, 284.18, 52.91, 279.17, 53.81
2025-09-22T13:06:39.772, 290.18, 53.30, 282.06, 54.10
2025-09-22T13:06:39.788, 296.77, 54.18, 284.94, 54.43
2025-09-22T13:06:39.805, 302.94, 55.98, 287.80, 54.81
2025-09-22T13:06:39.822, 307.16, 57.14, 290.69, 55.24
2025-09-22T13:06:39.838, 310.37, 58.19, 293.54, 55.72
2025-09-22T13:06:39.855, 312.67, 58.84, 296.40, 56.24
2025-09-22T13:06:39.872, 314.18, 59.44, 299.23, 56.81
2025-09-22T13:06:39.888, 315.32, 60.01, 302.06, 57.43
2025-09-22T13:06:39.905, 316.18, 60.87, 304.89, 58.10
2025-09-22T13:06:39.922, 317.32, 61.44, 307.69, 58.81
2025-09-22T13:06:39.939, 318.46, 62.01, 310.49, 59.57
2025-09-22T13:06:39.955, 319.60, 62.86, 313.28, 60.38
2025-09-22T13:06:39.972, 320.45, 63.72, 316.04, 61.23
2025-09-22T13:06:39.989, 321.59, 64.29, 318.80, 62.13
2025-09-22T13:06:40.009, 323.02, 65.43, 321.53, 63.07
2025-09-22T13:06:40.021, 323.54, 65.95, 324.28, 64.07
2025-09-22T13:06:40.038, 324.68, 66.52, 326.97, 65.10
2025-09-22T13:06:40.055, 325.90, 67.40, 329.67, 66.18
2025-09-22T13:06:40.072, 327.41, 68.31, 332.33, 67.30
2025-09-22T13:06:40.088, 329.71, 69.61, 334.98, 68.47
2025-09-22T13:06:40.105, 332.01, 70.92, 337.62, 69.69
2025-09-22T13:06:40.122, 334.31, 72.22, 340.24, 70.95
2025-09-22T13:06:40.138, 336.61, 73.21, 342.82, 72.25
2025-09-22T13:06:40.155, 338.91, 74.52, 345.39, 73.59
2025-09-22T13:06:40.172, 341.64, 75.88, 347.94, 74.98
2025-09-22T13:06:40.188, 344.84, 77.32, 350.45, 76.40
2025-09-22T13:06:40.205, 348.16, 79.17, 352.94, 77.87
2025-09-22T13:06:40.222, 350.89, 80.53, 355.42, 79.38
2025-09-22T13:06:40.238, 353.19, 81.49, 357.87, 80.94
2025-09-22T13:06:40.255, 355.49, 82.80, 360.28, 82.52
2025-09-22T13:06:40.272, 358.41, 85.01, 362.68, 84.16
2025-09-22T13:06:40.288, 361.42, 87.62, 365.05, 85.84
2025-09-22T13:06:40.305, 364.88, 90.31, 367.40, 87.55
2025-09-22T13:06:40.322, 367.46, 92.89, 369.71, 89.31
2025-09-22T13:06:40.338, 369.06, 94.48, 371.99, 91.10
2025-09-22T13:06:40.355, 370.20, 95.63, 374.24, 92.92
2025-09-22T13:06:40.372, 371.39, 97.13, 376.46, 94.79
2025-09-22T13:06:40.388, 373.98, 99.71, 378.64, 96.68
2025-09-22T13:06:40.405, 375.94, 101.36, 380.80, 98.62
2025-09-22T13:06:40.422, 377.98, 103.41, 382.91, 100.59
2025-09-22T13:06:40.438, 379.18, 104.92, 385.01, 102.60
2025-09-22T13:06:40.455, 380.04, 106.06, 387.07, 104.64
2025-09-22T13:06:40.472, 380.97, 107.93, 389.09, 106.72
2025-09-22T13:06:40.488, 381.57, 109.44, 391.07, 108.83
2025-09-22T13:06:40.505, 382.56, 111.74, 393.02, 110.96
2025-09-22T13:06:40.522, 383.13, 112.88, 394.94, 113.14
2025-09-22T13:06:40.538, 383.70, 114.02, 396.82, 115.35
2025-09-22T13:06:40.555, 384.22, 115.11, 398.66, 117.58
2025-09-22T13:06:40.572, 384.82, 116.62, 400.46, 119.85
2025-09-22T13:06:40.588, 385.73, 118.13, 402.23, 122.15
2025-09-22T13:06:40.605, 386.98, 120.00, 403.97, 124.48
2025-09-22T13:06:40.622, 387.86, 121.51, 405.65, 126.83
2025-09-22T13:06:40.638, 388.71, 122.65, 407.30, 129.22
2025-09-22T13:06:40.655, 389.29, 123.79, 408.91, 131.63
2025-09-22T13:06:40.674, 390.14, 124.93, 410.49, 134.07
2025-09-22T13:06:40.688, 391.65, 126.13, 412.01, 136.53
2025-09-22T13:06:40.706, 392.79, 127.27, 413.51, 139.03
2025-09-22T13:06:40.722, 393.93, 128.12, 414.94, 141.52
2025-09-22T13:06:40.738, 394.45, 128.64, 416.34, 144.06
2025-09-22T13:06:40.755, 394.96, 129.15, 417.71, 146.63
2025-09-22T13:06:40.772, 396.16, 129.72, 419.02, 149.20
2025-09-22T13:06:40.788, 399.36, 131.14, 420.30, 151.80
2025-09-22T13:06:40.805, 404.71, 133.18, 421.53, 154.43
2025-09-22T13:06:40.822, 408.40, 135.02, 420.30, 151.80
2025-09-22T13:06:40.838, 412.09, 136.50, 419.03, 149.21
2025-09-22T13:06:40.855, 413.96, 137.12, 417.71, 146.63
2025-09-22T13:06:40.871, 415.11, 137.69, 416.35, 144.08
2025-09-22T13:06:40.888, 415.62, 138.21, 414.95, 141.54
2025-09-22T13:06:40.905, 416.45, 138.75, 413.50, 139.02
2025-09-22T13:06:40.922, 417.28, 139.01, 412.02, 136.54
2025-09-22T13:06:40.938, 417.79, 139.27, 410.49, 134.07
2025-09-22T13:06:40.955, 418.31, 139.52, 408.91, 131.63
2025-09-22T13:06:40.971, 418.31, 139.52, 407.31, 129.23
2025-09-22T13:06:40.988, 418.31, 139.52, 405.66, 126.84
2025-09-22T13:06:41.004, 418.31, 139.52, 403.97, 124.48
2025-09-22T13:06:41.022, 418.31, 139.75, 402.24, 122.17
2025-09-22T13:06:41.039, 418.31, 139.75, 400.46, 119.85
2025-09-22T13:06:41.055, 418.31, 139.99, 398.67, 117.59
2025-09-22T13:06:41.071, 418.31, 140.23, 396.83, 115.36
2025-09-22T13:06:41.088, 418.31, 140.23, 394.95, 113.15
2025-09-22T13:06:41.105, 416.22, 140.23, 393.04, 110.98
2025-09-22T13:06:41.121, 409.98, 136.31, 391.07, 108.83
2025-09-22T13:06:41.138, 406.96, 133.70, 389.09, 106.72
2025-09-22T13:06:41.156, 403.49, 131.00, 387.07, 104.64
2025-09-22T13:06:41.172, 400.90, 128.04, 385.02, 102.61
2025-09-22T13:06:41.189, 398.85, 125.98, 382.93, 100.60
2025-09-22T13:06:41.204, 396.79, 123.93, 380.88, 98.69
2025-09-22T13:06:41.222, 394.74, 121.87, 378.64, 96.68
2025-09-22T13:06:41.238, 391.72, 119.25, 376.46, 94.79
2025-09-22T13:06:41.255, 388.57, 116.10, 374.24, 92.92
2025-09-22T13:06:41.272, 386.06, 113.96, 371.99, 91.10
2025-09-22T13:06:41.288, 383.93, 111.46, 369.71, 89.31
2025-09-22T13:06:41.305, 381.87, 109.40, 367.41, 87.56
2025-09-22T13:06:41.321, 380.30, 107.83, 365.07, 85.85
2025-09-22T13:06:41.338, 378.79, 106.63, 362.70, 84.17
2025-09-22T13:06:41.355, 376.48, 105.32, 360.30, 82.53
2025-09-22T13:06:41.371, 374.05, 103.58, 357.99, 81.01
