timestamp, mouseX, mouseY, flowerX, flowerY
2025-09-22T13:31:37.948, 127.36, 115.36, 135.42, 112.30
2025-09-22T13:31:37.965, 127.36, 115.36, 137.39, 110.12
2025-09-22T13:31:37.982, 127.36, 115.36, 139.39, 107.97
2025-09-22T13:31:37.998, 127.36, 115.36, 141.43, 105.86
2025-09-22T13:31:38.016, 127.36, 115.36, 143.50, 103.78
2025-09-22T13:31:38.032, 127.36, 115.36, 145.60, 101.74
2025-09-22T13:31:38.048, 127.36, 115.36, 147.74, 99.73
2025-09-22T13:31:38.066, 127.36, 115.36, 149.89, 97.78
2025-09-22T13:31:38.082, 127.36, 115.36, 152.11, 95.84
2025-09-22T13:31:38.100, 127.48, 114.55, 154.35, 93.94
2025-09-22T13:31:38.117, 127.48, 113.35, 156.62, 92.07
2025-09-22T13:31:38.133, 128.41, 111.47, 158.92, 90.25
2025-09-22T13:31:38.150, 129.72, 109.16, 161.24, 88.47
2025-09-22T13:31:38.166, 131.93, 105.83, 163.59, 86.74
2025-09-22T13:31:38.182, 134.73, 101.80, 165.98, 85.03
2025-09-22T13:31:38.199, 138.98, 97.55, 168.40, 83.36
2025-09-22T13:31:38.216, 144.24, 92.70, 170.84, 81.74
2025-09-22T13:31:38.232, 147.47, 89.63, 173.30, 80.16
2025-09-22T13:31:38.249, 151.57, 85.92, 175.78, 78.63
2025-09-22T13:31:38.266, 154.89, 83.70, 178.31, 77.12
2025-09-22T13:31:38.282, 158.58, 81.48, 180.86, 75.66
2025-09-22T13:31:38.299, 163.40, 79.83, 183.41, 74.26
2025-09-22T13:31:38.316, 167.14, 78.69, 186.01, 72.88
2025-09-22T13:31:38.332, 171.90, 77.50, 188.63, 71.55
2025-09-22T13:31:38.349, 177.25, 76.64, 191.27, 70.26
2025-09-22T13:31:38.365, 182.00, 75.85, 193.93, 69.02
2025-09-22T13:31:38.382, 185.69, 75.11, 196.59, 67.83
2025-09-22T13:31:38.399, 188.90, 74.76, 199.30, 66.68
2025-09-22T13:31:38.416, 191.63, 74.42, 202.00, 65.58
2025-09-22T13:31:38.432, 193.93, 73.76, 204.74, 64.51
2025-09-22T13:31:38.449, 195.80, 73.44, 207.49, 63.50
2025-09-22T13:31:38.466, 198.10, 72.78, 210.26, 62.53
2025-09-22T13:31:38.482, 200.40, 72.12, 213.04, 61.61
2025-09-22T13:31:38.499, 203.13, 71.09, 215.84, 60.73
2025-09-22T13:31:38.516, 208.66, 69.61, 218.64, 59.90
2025-09-22T13:31:38.532, 212.35, 68.50, 221.47, 59.12
2025-09-22T13:31:38.549, 215.55, 67.41, 224.31, 58.38
2025-09-22T13:31:38.565, 219.24, 66.30, 227.15, 57.70
2025-09-22T13:31:38.582, 221.97, 65.27, 230.02, 57.06
2025-09-22T13:31:38.599, 225.18, 64.18, 232.89, 56.46
2025-09-22T13:31:38.615, 228.38, 63.13, 235.76, 55.92
2025-09-22T13:31:38.632, 231.59, 61.70, 238.67, 55.42
2025-09-22T13:31:38.650, 235.81, 60.54, 241.54, 54.98
2025-09-22T13:31:38.666, 240.04, 59.00, 244.47, 54.57
2025-09-22T13:31:38.684, 243.72, 58.25, 247.37, 54.22
2025-09-22T13:31:38.699, 246.45, 57.57, 250.29, 53.92
2025-09-22T13:31:38.716, 248.75, 57.25, 253.21, 53.66
2025-09-22T13:31:38.732, 250.26, 56.96, 256.13, 53.46
2025-09-22T13:31:38.749, 251.77, 56.96, 259.06, 53.30
2025-09-22T13:31:38.766, 253.64, 56.64, 262.00, 53.19
2025-09-22T13:31:38.782, 256.37, 56.64, 264.91, 53.14
2025-09-22T13:31:38.799, 259.57, 56.30, 267.85, 53.13
2025-09-22T13:31:38.816, 262.78, 56.30, 270.79, 53.16
2025-09-22T13:31:38.832, 265.99, 55.93, 273.71, 53.25
2025-09-22T13:31:38.849, 268.71, 55.93, 276.64, 53.39
2025-09-22T13:31:38.866, 271.02, 55.93, 279.57, 53.57
2025-09-22T13:31:38.882, 272.89, 55.93, 282.48, 53.81
2025-09-22T13:31:38.899, 274.40, 55.93, 285.41, 54.09
2025-09-22T13:31:38.916, 275.91, 55.93, 288.31, 54.42
2025-09-22T13:31:38.932, 277.78, 55.93, 291.24, 54.80
2025-09-22T13:31:38.949, 280.51, 55.93, 294.12, 55.23
2025-09-22T13:31:38.966, 283.23, 55.93, 297.00, 55.70
2025-09-22T13:31:38.982, 285.96, 56.61, 299.89, 56.23
2025-09-22T13:31:38.999, 288.74, 57.29, 302.76, 56.80
2025-09-22T13:31:39.015, 291.04, 57.94, 305.65, 57.42
2025-09-22T13:31:39.032, 293.34, 58.59, 308.49, 58.09
2025-09-22T13:31:39.049, 297.01, 59.93, 311.34, 58.80
2025-09-22T13:31:39.065, 301.23, 61.46, 314.16, 59.56
2025-09-22T13:31:39.082, 306.21, 63.49, 317.00, 60.38
2025-09-22T13:31:39.099, 310.77, 65.47, 319.79, 61.23
2025-09-22T13:31:39.115, 315.76, 67.51, 322.58, 62.14
2025-09-22T13:31:39.132, 319.98, 69.80, 325.36, 63.09
2025-09-22T13:31:39.149, 325.33, 72.26, 328.11, 64.08
2025-09-22T13:31:39.166, 330.68, 74.72, 330.85, 65.12
